dimension,persisted_label,consensus_label,n_entries
achievement,-1,-1,39
achievement,-1,0,38
achievement,-1,1,8
achievement,0,-1,10
achievement,0,0,1055
achievement,0,1,65
achievement,1,-1,1
achievement,1,0,63
achievement,1,1,372
benevolence,-1,-1,75
benevolence,-1,0,42
benevolence,-1,1,6
benevolence,0,-1,6
benevolence,0,0,1003
benevolence,0,1,64
benevolence,1,-1,3
benevolence,1,0,68
benevolence,1,1,384
conformity,-1,-1,93
conformity,-1,0,36
conformity,0,-1,15
conformity,0,0,1156
conformity,0,1,18
conformity,1,-1,7
conformity,1,0,70
conformity,1,1,256
hedonism,-1,-1,105
hedonism,-1,0,35
hedonism,-1,1,1
hedonism,0,-1,34
hedonism,0,0,1277
hedonism,0,1,26
hedonism,1,-1,2
hedonism,1,0,23
hedonism,1,1,148
power,-1,-1,80
power,-1,0,48
power,-1,1,18
power,0,-1,4
power,0,0,1314
power,0,1,20
power,1,-1,2
power,1,0,31
power,1,1,134
security,-1,-1,117
security,-1,0,26
security,-1,1,8
security,0,-1,16
security,0,0,1146
security,0,1,50
security,1,-1,9
security,1,0,47
security,1,1,232
self_direction,-1,-1,118
self_direction,-1,0,83
self_direction,-1,1,15
self_direction,0,-1,14
self_direction,0,0,965
self_direction,0,1,40
self_direction,1,0,87
self_direction,1,1,329
stimulation,-1,-1,36
stimulation,-1,0,19
stimulation,-1,1,5
stimulation,0,-1,7
stimulation,0,0,1447
stimulation,0,1,10
stimulation,1,0,22
stimulation,1,1,105
tradition,-1,-1,34
tradition,-1,0,19
tradition,-1,1,5
tradition,0,-1,2
tradition,0,0,1315
tradition,0,1,20
tradition,1,-1,1
tradition,1,0,61
tradition,1,1,194
universalism,-1,-1,45
universalism,-1,0,6
universalism,-1,1,5
universalism,0,-1,1
universalism,0,0,1427
universalism,0,1,8
universalism,1,0,18
universalism,1,1,141
