metric,dimension,value,reference,decision_role
fleiss_kappa,self_direction,0.765,,informational
consensus_vs_persisted_cohen_kappa,self_direction,0.714,,informational
consensus_vs_human_cohen_kappa,self_direction,0.483,0.699,advisory_only
persisted_vs_human_cohen_kappa,self_direction,0.699,,advisory_only
fleiss_kappa,stimulation,0.809,0.58,informational
consensus_vs_persisted_cohen_kappa,stimulation,0.804,,informational
consensus_vs_human_cohen_kappa,stimulation,0.714,0.763,advisory_only
persisted_vs_human_cohen_kappa,stimulation,0.763,,advisory_only
fleiss_kappa,hedonism,0.797,0.64,informational
consensus_vs_persisted_cohen_kappa,hedonism,0.776,,informational
consensus_vs_human_cohen_kappa,hedonism,0.554,0.638,advisory_only
persisted_vs_human_cohen_kappa,hedonism,0.638,,advisory_only
fleiss_kappa,achievement,0.789,,informational
consensus_vs_persisted_cohen_kappa,achievement,0.75,,informational
consensus_vs_human_cohen_kappa,achievement,0.696,0.731,advisory_only
persisted_vs_human_cohen_kappa,achievement,0.731,,advisory_only
fleiss_kappa,power,0.793,,informational
consensus_vs_persisted_cohen_kappa,power,0.753,,informational
consensus_vs_human_cohen_kappa,power,0.662,0.661,advisory_only
persisted_vs_human_cohen_kappa,power,0.661,,advisory_only
fleiss_kappa,security,0.775,0.48,informational
consensus_vs_persisted_cohen_kappa,security,0.775,,informational
consensus_vs_human_cohen_kappa,security,0.501,0.495,advisory_only
persisted_vs_human_cohen_kappa,security,0.495,,advisory_only
fleiss_kappa,conformity,0.781,,informational
consensus_vs_persisted_cohen_kappa,conformity,0.785,,informational
consensus_vs_human_cohen_kappa,conformity,0.643,0.654,advisory_only
persisted_vs_human_cohen_kappa,conformity,0.654,,advisory_only
fleiss_kappa,tradition,0.809,,informational
consensus_vs_persisted_cohen_kappa,tradition,0.778,,informational
consensus_vs_human_cohen_kappa,tradition,0.784,0.806,advisory_only
persisted_vs_human_cohen_kappa,tradition,0.806,,advisory_only
fleiss_kappa,benevolence,0.779,,informational
consensus_vs_persisted_cohen_kappa,benevolence,0.763,,informational
consensus_vs_human_cohen_kappa,benevolence,0.737,0.748,advisory_only
persisted_vs_human_cohen_kappa,benevolence,0.748,,advisory_only
fleiss_kappa,universalism,0.89,,informational
consensus_vs_persisted_cohen_kappa,universalism,0.898,,informational
consensus_vs_human_cohen_kappa,universalism,0.883,0.924,advisory_only
persisted_vs_human_cohen_kappa,universalism,0.924,,advisory_only
fleiss_kappa,aggregate,0.799,,informational
consensus_vs_persisted_cohen_kappa,aggregate,0.778,,informational
consensus_vs_human_cohen_kappa,aggregate,0.674,0.723,advisory_only
persisted_vs_human_cohen_kappa,aggregate,0.723,,advisory_only
fleiss_n_shared,aggregate,1651.0,,informational
